Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.7917555081734187,0.6310679611650486,0.5213903743315508,0.5710102489019033,0.839255115933551
Logistic Regression,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403
Random Forest,0.7604832977967306,0.5413870246085011,0.6470588235294118,0.5895249695493301,0.8153617779066216
